texto,autor
"A mí, tan luego, hablarme del finado Francisco Real. Yo lo conocí, y eso que éstos no eran sus barrios porque él sabía tallar más bien por el Norte, por esos laos de la laguna de Guadalupe y la Batería. Arriba de tres veces no lo traté, y ésas en una misma noche, pero es noche que no se me olvidará, como que en ella vino la Lujanera porque sí, a dormir en mi rancho y Rosendo Juárez dejó, para no volver, el Arroyo. A ustedes, claro que les falta la debida esperiencia para reconocer ese nombre, pero Rosendo Juárez el Pegador era de los que pisaban más fuerte por Villa Santa Rita. Mozo acreditao para el cuchillo era uno de los hombres de D. Nicolás Paredes, que era uno de los hombres de Morel. Sabía llegar de lo más paquete al quilombo, en un oscuro, con las prendas de plata; los hombres y los perros lo respetaban y las chinas también; nadie inoraba que estaba debiendo dos muertes; usaba un chambergo alto, de ala finita, sobre la melena grasienta; la suerte lo mimaba, como quien dice. Los mozos de la Villa le copiábamos hasta el modo de escupir. Sin embargo, una noche nos ilustró la verdadera condición de Rosendo.
Parece cuento, pero la historia de esa noche rarísima empezó por un placero insolente de ruedas coloradas, lleno hasta el tope de hombres, que iba a los barquinazos por esos callejones de barro duro, entre los hornos de ladrillos y los huecos, y dos de negro, déle guitarriar y aturdir, y el del pescante que les tiraba un fustazo a los perros sueltos que se le atravesaban al moro, y un emponchado iba silencioso en el medio, y ése era el Corralero de tantas mentas, y el hombre iba a peliar y a matar. La noche era una bendición de tan fresca; dos de ellos iban sobre la capota volcada, como si la soledá juera un corso. Ese jué el primer sucedido de tantos que hubo, pero recién después lo supimos. Los muchachos estábamos dende temprano en el salón de Julia, que era un galpón de chapas de cinc, entre el camino de Gauna y el Maldonado. Era un local que usté lo divisaba de lejos, por la luz que mandaba a la redonda el farol sinvergüenza, y por el barullo también. La Julia, aunque de humilde color, era de lo más conciente y formal, así que no faltaban musicantes, güen beberaje y compañeras resistentes pal baile. Pero la Lujanera, que era la mujer de Rosendo, las sobraba lejos a todas. Se murió, señor, y digo que hay años en que ni pienso en ella, pero había que verla en sus días, con esos ojos. Verla, no daba sueño.",Borges
"La candente mañana de febrero en que Beatriz Viterbo murió, después de una imperiosa agonía que no se rebajó un solo instante ni al sentimentalismo ni al miedo, noté que las carteleras de fierro de la Plaza Constitución habían renovado no sé qué aviso de cigarrillos rubios; el hecho me dolió, pues comprendí que el incesante y vasto universo ya se apartaba de ella y que ese cambio era el primero de una serie infinita. Cambiará el universo pero yo no, pensé con melancólica vanidad; alguna vez, lo sé, mi vana devoción la había exasperado; muerta yo podía consagrarme a su memoria, sin esperanza, pero también sin humillación. Consideré que el treinta de abril era su cumpleaños; visitar ese día la casa de la calle Garay para saludar a su padre y a Carlos Argentino Daneri, su primo hermano, era un acto cortés, irreprochable, tal vez ineludible. De nuevo aguardaría en el crepúsculo de la abarrotada salita, de nuevo estudiaría las circunstancias de sus muchos retratos. Beatriz Viterbo, de perfil, en colores; Beatriz, con antifaz, en los carnavales de 1921; la primera comunión de Beatriz; Beatriz, el día de su boda con Roberto Alessandri; Beatriz, poco después del divorcio, en un almuerzo del Club Hípico; Beatriz, en Quilmes, con Delia San Marco Porcel y Carlos Argentino; Beatriz, con el pekinés que le regaló Villegas Haedo; Beatriz, de frente y de tres cuartos, sonriendo, la mano en el mentón... No estaría obligado, como otras veces, a justificar mi presencia con módicas ofrendas de libros: libros cuyas páginas, finalmente, aprendí a cortar, para no comprobar, meses después, que estaban intactos.
Beatriz Viterbo murió en 1929; desde entonces, no dejé pasar un treinta de abril sin volver a su casa. Yo solía llegar a las siete y cuarto y quedarme unos veinticinco minutos; cada  año aparecía un poco más tarde y me quedaba un rato más; en 1933, una lluvia torrencial me favoreció: tuvieron que invitarme a comer. No desperdicié, como es natural, ese buen precedente; en 1934, aparecí, ya dadas las ocho, con un alfajor santafecino; con toda naturalidad me quedé a comer. Así, en aniversarios melancólicos y vanamente eróticos, recibí las graduales confidencias de Carlos Argentino Daneri.",Borges
"Sé que me acusan de soberbia, y tal vez de misantropía, y tal vez de locura. Tales acusaciones (que yo castigaré a su debido tiempo) son irrisorias. Es verdad que no salgo de mi casa, pero también es verdad que sus puertas (cuyo número es infinito)1 están abiertas día y noche a los hombres y también a los animales. Que entre el que quiera. No hallará pompas mujeriles aqui ni el bizarro aparato de los palacios, pero sí la quietud y la soledad. Asimismo hallará una casa como no hay otra en la faz de la Tierra. (Mienten los que declaran que en Egipto hay una parecida.) Hasta mis detractores admiten que no hay un solo mueble en la casa. Otra especie ridícula es que yo, Asterión, soy un prisionero. ¿Repetiré que no hay una puerta cerrada, añadiré que no hay una cerradura? Por lo demás, algún atardecer he pisado la calle; si antes de la noche volví, lo hice por el temor que me infundieron las caras de la plebe, caras descoloridas y aplanadas, como la mano abierta. Ya se había puesto el Sol, pero el desvalido llanto de un niño y las toscas plegarias de la grey dijeron que me habían reconocido. La gente oraba, huía, se prosternaba; unos se encaramaban al estilóbato del templo de las Hachas, otros juntaban piedras. Alguno, creo, se ocultó bajo el mar. No en vano fue una reina mi madre; no puedo confundirme con el vulgo; aunque mi modestia lo quiera.

El hecho es que soy único. No me interesa lo que un hombre pueda trasmitir a otros hombres; como el filósofo, pienso que nada es comunicable por el arte de la escritura. Las enojosas y triviales minucias no tienen cabida en mi espíritu, que está capacitado para lo grande; jamás he retenido la diferencia entre una letra y otra. Cierta impaciencia generosa no ha consentido que yo aprendiera a leer. A veces lo deploro porque las noches y los días son largos.",Borges
"El catorce de enero de 1922, Emma Zunz, al volver de la fábrica de tejidos Tarbuch y Loewenthal, halló en el fondo del zaguán una carta, fechada en el Brasil, por la que supo que su padre había muerto. La engañaron, a primera vista, el sello y el sobre; luego, la inquietó la letra desconocida. Nueve diez líneas borroneadas querían colmar la hoja; Emma leyó que el señor Maier había ingerido por error una fuerte dosis de veronal y había fallecido el tres del corriente en el hospital de Bagé. Un compañero de pensión de su padre firmaba la noticia, un tal Fein o Fain, de Río Grande, que no podía saber que se dirigía a la hija del muerto. Emma dejó caer el papel. Su primera impresión fue de malestar en el vientre y en las rodillas; luego de ciega culpa, de irrealidad, de frío, de temor; luego, quiso ya estar en el día siguiente. Acto continuo comprendió que esa voluntad era inútil porque la muerte de su padre era lo único que había sucedido en el mundo, y seguiría sucediendo sin fin. Recogió el papel y se fue a su cuarto. Furtivamente lo guardó en un cajón, como si de algún modo ya conociera los hechos ulteriores. Ya había empezado a vislumbrarlos, tal vez; ya era la que sería.",Borges
"Lo recuerdo (yo no tengo derecho a pronunciar ese verbo sagrado, sólo un hombre en la tierra tuvo derecho y ese hombre ha muerto) con una oscura pasionaria en la mano, viéndola como nadie la ha visto, aunque la mirara desde el crepúsculo del día hasta el de la noche, toda una vida entera. Lo recuerdo, la cara taciturna y aindiada y singularmente remota, detrás del cigarrillo. Recuerdo (creo) sus manos afiladas de trenzado. Recuerdo cerca de esas manos un mate, con las armas de la Banda Oriental; recuerdo en la ventana de la casa una estera amarilla, con un vago paisaje lacustre. Recuerdo claramente su voz; la voz pausada, resentida y nasal del orillero antiguo, sin los silbidos italianos de ahora. Más de tres veces no lo vi; la última, en 1887... Me parece muy feliz el proyecto de que todos aquellos que lo trataron escriban sobre él; mi testimonio será acaso el más breve y sin duda el más pobre, pero no el menos imparcial del volumen que editarán ustedes. Mi deplorable condición de argentino me impedirá incurrir en el ditirambo -género obligatorio en el Uruguay, cuando el tema es un uruguayo. Literato, cajetilla, porteño; Funes no dijo esas injuriosas palabras, pero de un modo suficiente me consta que yo representaba para él esas desventuras. Pedro Leandro Ipuche ha escrito que Funes era un precursor de los superhombres, """"un Zarathustra cimarrón y vernáculo """"; no lo discuto, pero no hay que olvidar que era también un compadrito de Fray Bentos, con ciertas incurables limitaciones.
Mi primer recuerdo de Funes es muy perspicuo. Lo veo en un atardecer de marzo o febrero del año 84. Mi padre, ese año, me había llevado a veranear a Fray Bentos. Yo volvía con mi primo Bernardo Haedo de la estancia de San Francisco. Volvíamos cantando, a caballo, y ésa no era la única circunstancia de mi felicidad. Después de un día bochornoso, una enorme tormenta color pizarra había escondido el cielo. La alentaba el viento del Sur, ya se enloquecían los árboles; yo tenía el temor (la esperanza) de que nos sorprendiera en un descampado el agua elemental. Corrimos una especie de carrera con la tormenta. Entramos en un callejón que se ahondaba entre dos veredas altísimas de ladrillo. Había oscurecido de golpe; oí rápidos y casi secretos pasos en lo alto; alcé los ojos y vi un muchacho que corría por la estrecha y rota vereda como por una estrecha y rota pared. Recuerdo la bombacha, las alpargatas, recuerdo el cigarrillo en el duro rostro, contra el nubarrón ya sin límites. Bernardo le gritó imprevisiblemente: """"¿Qué horas son, Ireneo?"""""""". Sin consultar el cielo, sin detenerse, el otro respondió: 'Faltan cuatro minutos para las ocho, joven Bernardo Juan Francisco"""". La voz era aguda, burlona. Yo soy tan distraído que el diálogo que acabo de referir no me hubiera llamado la atención si no lo hubiera recalcado mi primo, a quien estimulaban (creo) cierto orgullo local, y el deseo de mostrarse indiferente a la réplica tripartita del otro. ",Borges
"El universo (que otros llaman la Biblioteca) se compone de un número indefinido, y tal vez infinito, de galerías hexagonales, con vastos pozos de ventilación en el medio, cercados por barandas bajísimas. Desde cualquier hexágono se ven los pisos inferiores y superiores: interminablemente. La distribución de las galerías es invariable. Veinte anaqueles, a cinco largos anaqueles por lado, cubren todos los lados menos dos; su altura, que es la de los pisos, excede apenas la de un bibliotecario normal. Una de las caras libres da a un angosto zaguán, que desemboca en otra galería, idéntica a la primera y a todas. A izquierda y a derecha del zaguán hay dos gabinetes minúsculos. Uno permite dormir de pie; otro, satisfacer las necesidades finales. Por ahí pasa la escalera espiral, que se abisma y se eleva hacia lo remoto. En el zaguán hay un espejo, que fielmente duplica las apariencias. Los hombres suelen inferir de ese espejo que la Biblioteca no es infinita (si lo fuera realmente ¿a qué esa duplicación ilusoria?); yo prefiero soñar que las superficies bruñidas figuran y prometen el infinito... La luz procede de unas frutas esféricas que llevan el nombre de lámparas. Hay dos en cada hexágono: transversales. La luz que emiten es insuficiente, incesante.
Como todos los hombres de la Biblioteca, he viajado en mi juventud; he peregrinado en busca de un libro, acaso del catálogo de catálogos; ahora que mis ojos casi no pueden descifrar lo que escribo, me preparo a morir a unas pocas leguas del hexágono en que nací. Muerto, no faltarán manos piadosas que me tiren por la baranda; mi sepultura será el aire insondable; mi cuerpo se hundirá largamente y se corromperá y disolverá en el viento engendrado por la caída, que es infinita. Yo afirmo que la Biblioteca es interminable. Los idealistas arguyen que las salas hexagonales son una forma necesaria del espacio absoluto o, por lo menos, de nuestra intuición del espacio. Razonan que es inconcebible una sala triangular o pentagonal. (Los místicos pretenden que el éxtasis les revela una cámara circular con un gran libro circular de lomo continuo, que da toda la vuelta de las paredes; pero su testimonio es sospechoso; sus palabras, oscuras. Ese libro cíclico es Dios.) Básteme, por ahora, repetir el dictamen clásico: La Biblioteca es una esfera cuyo centro cabal es cualquier hexágono, cuya circunferencia es inaccesible.",Borges
"Soy un hombre cobarde. Ahora lo digo, ahora que he llevado a término un plan plan que nadie no calificará de arriesgado. Yo sé que fue terrible su ejecución. No lo hice por Alemania, no. Nada me importa un país bárbaro, que me ha obligado a la abyección de ser un espía. Además, yo sé de un hombre de Inglaterra—un hombre modesto—que para mí no es menos que Goethe. Arriba de una hora no hablé con él, pero durante una hora fue Goethe... Lo hice, porque yo sentía que el Jefe tenía en poco a los de mi raza—a los innumerables antepasados que confluyen en mí. Yo quería probarle que un amarillo podía salvar a sus ejércitos. Además, yo debía huir del capitán. Sus manos y su voz podían golpear en cualquier momento a mi puerta. Me vestí sin ruido, me dije adiós en el espejo, bajé, escudriñé la calle tranquila y salí. La estación no distaba mucho de casa, pero juzgué preferible tomar un coche. Argüí que así corría menos peligro de ser reconocido; el hecho es que en la calle desierta me sentía visible y vulnerable, infinitamente. Recuerdo que le dije al cochero que se detuviera un poco antes de la entrada central. Bajé con lentitud voluntaria y casi penosa; iba a la aldea de Ashgove, pero saqué un pasaje para una estación más lejana. El tren salía dentro de muy pocos minutos, a las ocho y cincuenta. Me apresuré: el próximo saldría a las nueve y media. No había casi nadie en el andén. Recorrí los coches: recuerdo a unos labradores, una enlutada, un joven que leía con fervor los Anales de Tácito, un soldado herido y feliz. Los coches arrancaron al fin. Un hombre que reconocí corrió en vano hasta el límite del andén. Era el capitán Richard Madden. Aniquilado, trémulo, me encogí en la otra punta del sillón, lejos del temido cristal.  
De esa aniquilación pasé a una felicidad casi abyecta. Me dije que estaba empeñado mi duelo y que yo había ganado el primer asalto, al burlar, siquiera por cuarenta minutos, siquiera por un favor del azar, el ataque de mi adversario. Argüí que no era mínima, ya que sin esa diferencia preciosa que el horario de trenes me deparaba, yo estaría en la cárcel, o muerto. Argüí (no menos sofísticamente) que mi felicidad cobarde probaba que yo era hombre capaz de llevar a buen término la aventura. De esa debilidad saqué fuerzas que no me abandonaron. Preveo que el hombre se resignará cada día a empresas más atroces; pronto no habrá sino guerreros y bandoleros; les doy este consejo: El ejecutor de una empresa atroz debe imaginar que ya la ha cumplido, debe imponerse un porvenir que sea.",Borges
"Nos gustaba la casa porque aparte de espaciosa y antigua (hoy que las casas antiguas sucumben a la más ventajosa liquidación de sus materiales) guardaba los recuerdos de nuestros bisabuelos, el abuelo paterno, nuestros padres y toda la infancia.

Nos habituamos Irene y yo a persistir solos en ella, lo que era una locura pues en esa casa podían vivir ocho personas sin estorbarse. Hacíamos la limpieza por la mañana, levantándonos a las siete, y a eso de las once yo le dejaba a Irene las últimas habitaciones por repasar y me iba a la cocina. Almorzábamos al mediodía, siempre puntuales; ya no quedaba nada por hacer fuera de unos platos sucios. Nos resultaba grato almorzar pensando en la casa profunda y silenciosa y cómo nos bastábamos para mantenerla limpia. A veces llegábamos a creer que era ella la que no nos dejó casarnos. Irene rechazó dos pretendientes sin mayor motivo, a mí se me murió María Esther antes que llegáramos a comprometernos. Entramos en los cuarenta años con la inexpresada idea de que el nuestro, simple y silencioso matrimonio de hermanos, era necesaria clausura de la genealogía asentada por nuestros bisabuelos en nuestra casa. Nos moriríamos allí algún día, vagos y esquivos primos se quedarían con la casa y la echarían al suelo para enriquecerse con el terreno y los ladrillos; o mejor, nosotros mismos la voltearíamos justicieramente antes de que fuese demasiado tarde.",Cortázar
"Porque ya no ha de importarle, pero esa vez le dolió la coincidencia de los chismes entrecortados, la cara servil de Madre Celeste contándole a tía Bebé la incrédula desazón en el gesto de su padre. Primero fue la de la casa de altos, su manera vacuna de girar despacio la cabeza, rumiando las palabras con delicia de bolo vegetal. Y también la chica de la farmacia -“no porque yo lo crea, pero si fuese verdad, ¡qué horrible!”- y hasta don Emilio, siempre discreto como sus lápices y sus libretas de hule. Todos hablaban de Delia Mañara con un resto de pudor, nada seguros de que pudiera ser así, pero en Mario se abría paso a puerta limpia un aire de rabia subiéndole a la cara. Odió de improviso a su familia con un ineficaz estallido de independencia. No los había querido nunca, sólo la sangre y el miedo a estar solo lo ataban a su madre y a los hermanos. Con los vecinos fue directo y brutal; a don Emilio lo puteó de arriba abajo la primera vez que se repitieron los comentarios. A la de la casa de altos le negó el saludo como si eso pudiera afligirla. Y cuando volvía del trabajo entraba ostensiblemente para saludar a los Mañara y acercarse -a veces con caramelos o un libro- a la muchacha que había matado a sus dos novios.
Yo me acuerdo mal de Delia, pero era fina y rubia, demasiado lenta en sus gestos (yo tenía doce años, el tiempo y las cosas son lentas entonces) y usaba vestidos claros con faldas de vuelo libre. Mario creyó un tiempo que la gracia de Delia y sus vestidos apoyaban el odio de la gente. Se lo dijo a Madre Celeste: ""La odian porque no es chusma como ustedes, como yo mismo"", y ni parpadeó cuando su madre hizo ademán de cruzarle la cara con una toalla. Después de eso fue la ruptura manifiesta; lo dejaban solo, le lavaban la ropa como por favor, los domingos se iban a Palermo o de picnic sin siquiera avisarle. Entonces Mario se acercaba a la ventana de Delia y le tiraba una piedrita. A veces ella salía, a veces la escuchaba reírse adentro, un poco malvadamente y sin darle esperanzas.",Cortázar
"Qué le vas a hacer, ñato, cuando estás abajo todos te fajan. Todos, che, hasta el más maula. Te sacuden contra las sogas, te encajan la biaba. Andá, andá, qué venís con consuelos vos. Te conozco, mascarita. Cada vez que pienso en eso, salí de ahí, salí. Vos te creés que yo me desespero, lo que pasa es que no doy más aquí tumbado todo el día. Pucha que son largas las noches de invierno, te acordás del pibe del almacén cómo lo cantaba. Pucha que son largas… Y es así, ñato. Más largas que esperanza'e pobre. Fijáte que yo a la noche casi no la conozco, y venir a encontrarla ahora… Siempre a la cama temprano, a las nueve o a las diez. El patrón me decía: «Pibe, andáte al sobre, mañana hay que meterle duro y parejo». Una noche que me le escapaba era una casualidad. El patrón… Y ahora todo el tiempo así, mirando el techo. Ahí tenés otra cosa que no sé hacer, mirar p'arriba. Todos dijeron que me hubiera convenido, que hice la gran macana de levantarme a los dos segundos, cabrero como la gran flauta. Tienen razón, si me quedo hasta los ocho no me agarra tan mal el rubio.
Y bueno, es así. Pa peor la tos. Después te vienen con el jarabe y los pinchazos. Pobre la hermanita, el trabajo que le doy. Ni mear solo puedo. Es buena la hermanita, me da leche caliente y me cuenta cosas. Quién te iba a decir, pibe. El patrón me llamaba siempre pibe. Dale áperca, pibe. A la cocina, pibe. Cuando pelié con el negro en Nueva York el patrón andaba preocupado. Yo lo juné en el hotel antes de salir. «Lo fajás en seis rounds, pibe», pero fumaba como loco. El negro, cómo se llamaba el negrito, Flores o algo así. Duro de pelar, che. Un estilo lindo, me sacaba distancia vuelta a vuelta. Áperca, pibe, metele áperca. Tenía razón el trompa. Al tercero se me vino abajo como un trapo. Amarillo, el negro Flores, creo, algo así. Mirá como uno se ensarta, al principio me pareció que el rubio iba a ser más fácil. Lo que es la confianza, ñato. Me barajó de una piña que te la debo. Me agarró en frío el maula. Pobre patrón, no quería creer. Con qué bronca me levanté. Ni sentía las piernas, me lo quería comer ahí nomás. Mala suerte, pibe. Todo el mundo cobra al final.",Cortázar
"Había empezado a leer la novela unos días antes. La abandonó por negocios urgentes, volvió a abrirla cuando regresaba en tren a la finca; se dejaba interesar lentamente por la trama, por el dibujo de los personajes. Esa tarde, después de escribir una carta a su apoderado y discutir con el mayordomo una cuestion de aparcerías volvió al libro en la tranquilidad del estudio que miraba hacia el parque de los robles. Arrellanado en su sillón favorito de espaldas a la puerta que lo hubiera molestado como una irritante posibilidad de intrusiones, dejó que su mano izquierda acariciara una y otra vez el terciopelo verde y se puso a leer los últimos capítulos. Su memoria retenía sin esfuerzo los nombres y las imágenes de los protagonistas; la ilusión novelesca lo ganó casi en seguida. Gozaba del placer casi perverso de irse desgajando línea a línea de lo que lo rodeaba, y sentir a la vez que su cabeza descansaba cómodamente en el terciopelo del alto respaldo, que los cigarrillos seguían al alcance de la mano, que más allá de los ventanales danzaba el aire del atardecer bajo los robles. Palabra a palabra, absorbido por la sórdida disyuntiva de los héroes, dejándose ir hacia las imágenes que se concertaban y adquirian color y movimiento, fue testigo del último encuentro en la cabaña del monte. Primero entraba la mujer, recelosa; ahora llegaba el amante, lastimada la cara por el chicotazo de una rama. Admirablemente restallaba ella la sangre con sus besos, pero él rechazaba las caricias, no había venido para repetir las ceremonias de una pasión secreta, protegida por un mundo de hojas secas y senderos furtivos. El puñal se entibiaba contra su pecho, y debajo latía la libertad agazapada. Un diálogo anhelante corría por las páginas como un arroyo de serpientes, y se sentía que todo estaba decidido desde siempre. Hasta esas caricias que enredaban el cuerpo del amante como queriendo retenerlo y disuadirlo, dibujaban abominablemente la figura de otro cuerpo que era necesario destruir. Nada había sido olvidado: coartadas, azares, posibles errores. A partir de esa hora cada instante tenía su empleo minuciosamente atribuido. El doble repaso despiadado se interrumpía apenas para que una mano acariciara una mejilla. Empezaba a anochecer.",Cortázar
"Con Leticia y Holanda íbamos a jugar a las vías del Central Argentino los días de calor, esperando que mamá y tía Ruth empezaran su siesta para escaparnos por la puerta blanca. Mamá y tía Ruth estaban siempre cansadas después de lavar la loza, sobre todo cuando Holanda y yo secábamos los platos porque entonces había discusiones, cucharitas por el suelo, frases que sólo nosotras entendíamos, y en general un ambiente en donde el olor a grasa, los maullidos de José y la oscuridad de la cocina acababan en una violentísima pelea y el consiguiente desparramo. Holanda se especializaba en armar esta clase de líos, por ejemplo dejando caer un vaso ya lavado en el tacho del agua sucia, o recordando como al pasar que en la casa de las de Loza había dos sirvientas para todo servicio. Yo usaba otros sistemas, prefería insinuarle a tía Ruth que se le iban a paspar las manos si seguía fregando cacerolas en vez de dedicarse a las copas o los platos, que era precisamente lo que le gustaba lavar a mamá , con lo cual las enfrentaba sordamente en una lucha de ventajeo por la cosa fácil. El recurso heroico, si los consejos y las largas recordaciones familiares empezaban a saturarnos, era volcar agua hirviendo en el lomo del gato. Es una gran mentira eso del gato escaldado, salvo que haya que tomar al pie de la letra la referencia al agua fría; porque de la caliente José no se alejaba nunca, y hasta parecía ofrecerse, pobre animalito, a que le volcáramos media taza de agua a cien grados o poco menos, bastante menos probablemente porque nunca se le caía el pelo. La cosa es que ardía Troya, y en la confusión coronada por el espléndido si bemol de tía Ruth y la carrera de mamá en busca del bastón de los castigos, Holanda y yo nos perdíamos en la galería cubierta, hacia las piezas vacías del fondo donde Leticia nos esperaba leyendo a Ponson du Terrail, lectura inexplicable.",Cortázar
"AL PRINCIPIO LA muchacha del Dauphine había insistido en llevar la cuenta del tiempo, aunque al ingeniero del Peugeot 404 le daba ya lo mismo. Cualquiera podía mirar su reloj pero era como si ese tiempo atado a la muñeca derecha o el bip bip de la radio midieran otra cosa, fuera el tiempo de los que no han hecho la estupidez de querer regresar a París por la autopista del sur un domingo de tarde y, apenas salidos de Fontainbleau, han tenido que ponerse al paso, detenerse, seis filas a cada lado (ya se sabe que los domingos la autopista está íntegramente reservada a los que regresan a la capital), poner en marcha el motor, avanzar tres metros; detenerse, charlar con las dos monjas del 2HP a la derecha, con la muchacha del Dauphine a la izquierda, mirar por el retrovisor al hombre pálido que conduce un Caravelle, envidiar irónicamente la felicidad avícola del matrimonio del Peugeot 203 (detrás del Dauphine de la muchacha) que juega con su niñita y hace bromas y come queso, o sufrir de a ratos los desbordes exasperados de los dos jovencitos del Simca que precede al Peugeot 404, y hasta bajarse en los altos y explorar sin alejarse mucho (porque nunca se sabe en qué momento los autos de más adelante reanudarán la marcha y habrá que correr para que los de atrás no inicien la guerra de las bocinas y los insultos), y así llegar a la altura de un Taunus delante del Dauphine de la muchacha que mira a cada momento la hora, y cambiar unas frases descorazonadas o burlonas con los dos hombres que viajan con el niño rubio cuya inmensa diversión en esas precisas circunstancias consiste en hacer correr libremente su autito de juguete sobre los asientos y el reborde posterior del Taunus, o atreverse y avanzar todavía un poco más, puesto que no parece que los autos de adelante vayan a reanudar la marcha, y contemplar con alguna lástima al matrimonio de ancianos en el ID Citroën que parece una gigantesca bañadera violeta donde sobrenadan los dos viejitos, él descansando los antebrazos en el volante con un aire de paciente fatiga, ella mordisqueando una manzana con más aplicación que ganas. ",Cortázar
"Cuando inesperadamente tía Clelia se sintió mal, en la familia hubo un momento de pánico y por varias horas nadie fue capaz de reaccionar y discutir un plan de acción, ni siquiera tío Roque que encontraba siempre la salida más atinada. A Carlos lo llamaron por teléfono a la oficina, Rosa y Pepa despidieron a los alumnos de piano y solfeo, y hasta tía Clelia se preocupó más por mamá que por ella misma. Estaba segura de que lo que sentía no era grave, pero a mamá no se le podían dar noticias inquietantes con su presión y su azúcar, de sobra sabían todos que el doctor Bonifaz había sido el primero en comprender y aprobar que le ocultaran a mamá lo de Alejandro. Si tía Clelia tenía que guardar cama era necesario encontrar alguna manera de que mamá no sospechara que estaba enferma, pero ya lo de Alejandro se había vuelto tan difícil y ahora se agregaba esto; la menor equivocación, y acabaría por saber la verdad. Aunque la casa era grande, había que tener en cuenta el oído tan afinado de mamá y su inquietante capacidad para adivinar dónde estaba cada uno. Pepa, que había llamado al doctor Bonifaz desde el teléfono de arriba, avisó a sus hermanos que el médico vendría lo antes posible y que dejaran entornada la puerta cancel para que entrase sin llamar. Mientras Rosa y tío Roque atendían a tía Clelia que había tenido dos desmayos y se quejaba de un insoportable dolor de cabeza, Carlos se quedó con mamá para contarle las novedades del conflicto diplomático con el Brasil y leerle las últimas noticias. Mamá estaba de buen humor esa tarde y no le dolía la cintura como casi siempre a la hora de la siesta. A todos les fue preguntando qué les pasaba que parecían tan nerviosos, y en la casa se habló de la baja presión y de los efectos nefastos de los mejoradores en el pan. A la hora del té vino tío Roque a charlar con mamá, y Carlos pudo darse un baño y quedarse a la espera del médico. Tía Clelia seguía mejor, pero le costaba moverse en la cama y ya casi no se interesaba por lo que tanto la había preocupado al salir del primer vahído. Pepa y Rosa se turnaron junto a ella, ofreciéndole té y agua sin que les contestara; la casa se apaciguó con el atardecer y los hermanos se dijeron que tal vez lo de tía Clelia no era grave, y que a la tarde siguiente volvería a entrar en el dormitorio de mamá como si no le hubiese pasado nada.",Cortázar